Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,School_Type_Public,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Scholarship_Score,Grant_Eligible,Grant_Percent,Grant_Amount
23,84,0.0,2.0,0,7,73,0.0,1,0,0.0,1.0,2.0,3,0,1,67,1.0,1.0,0.0,0.0,1.0,69.53055801594331,0,0,0
19,64,0.0,1.0,0,8,59,0.0,1,2,1.0,1.0,0.0,4,0,0,61,1.0,0.0,0.0,1.0,0.0,56.59875996457042,0,0,0
24,98,1.0,1.0,1,7,91,1.0,1,2,1.0,1.0,1.0,4,0,1,74,1.0,0.0,1.0,0.0,1.0,80.60230292294065,1,85,33150000
29,89,0.0,1.0,1,8,98,1.0,1,1,1.0,1.0,0.0,4,0,1,71,1.0,1.0,0.0,1.0,0.0,75.19929140832595,1,80,31200000
19,92,1.0,1.0,1,6,65,1.0,1,3,1.0,2.0,1.0,4,0,0,70,1.0,0.0,0.0,0.0,1.0,75.19929140832595,1,80,31200000
19,88,1.0,1.0,1,8,89,1.0,1,3,1.0,1.0,2.0,3,0,1,71,1.0,0.0,1.0,0.0,1.0,75.022143489814,1,80,31200000
29,84,1.0,0.0,1,7,68,0.0,1,1,0.0,1.0,1.0,2,0,1,67,0.0,1.0,0.0,1.0,0.0,76.61647475642161,1,80,31200000
25,78,0.0,2.0,1,6,50,1.0,1,1,2.0,2.0,0.0,2,0,1,66,1.0,1.0,0.0,0.0,0.0,64.39326837909654,0,0,0
17,94,1.0,2.0,0,6,80,2.0,1,0,1.0,0.0,1.0,1,0,1,69,0.0,0.0,0.0,0.0,1.0,78.56510186005315,1,80,31200000
23,98,1.0,1.0,1,8,71,1.0,1,0,2.0,2.0,2.0,5,0,1,72,1.0,1.0,0.0,1.0,0.0,74.66784765279007,1,75,29250000
17,80,0.0,2.0,0,8,88,1.0,0,4,1.0,2.0,1.0,4,0,1,68,0.0,0.0,0.0,1.0,0.0,66.69619131975199,0,0,0
